id,title,type,year,material,description
o:km.8009,Gummiknüppel KM-O.17,Waffen,1924,"Leder, Gewebe","Type: Waffen | Type: Schlagwaffe | Description: Gummiknüppel mit Schlaufe aus Leder und mit Schnur umwickelt, Jahr 1924 | Material: Leder, Gewebe | Dimensions: width: 46,7 cm | Condition: fester haftende Verschmutzung | Museum ID: KM-O.17"
o:km.8017,Kipplauf (Gewehrlauf) mit Schalldämpfer KM-O.25,Waffen,1932,Stahl,"Type: Waffen | Type: Gewehr | Description: Kipplauf (Gewehrlauf) mit Schalldämpfer, BZ Ferlach, Nr. 811.32., Jahr 1932 | Material: Stahl | Dimensions: height: 3,6 cm, width: 72,2 cm, depth: 4,8 cm | Condition: fester haftende Verschmutzung, Metall korrodiert | Museum ID: KM-O.25"
o:km.8022,Schädeldecke KM-O.32,Forensische Medizin,1924,Menschlicher Knochen,"Type: Forensische Medizin | Type: Knochen | Description: Schädeldecke, Jahr 1924 | Material: Menschlicher Knochen | Dimensions: height: 14,3 cm, width: 16,5 cm, depth: 7,5 cm | Condition: fester haftende Verschmutzung, Schädeldecke beschädigt | Museum ID: KM-O.32"
o:km.8116,Relief eines Tatorts KM-O.134,Vergleichsobjekte,1895,Papier,"Type: Vergleichsobjekte | Type: Abdruck | Description: Relief aus Papiermache, Überblicksdartstellung eines Tatorts, Jahr 1895 | Material: Papier | Dimensions: height: 7,5 cm, width: 44,4 cm, depth: 31,7 cm | Condition: fester haftende Verschmutzung, Relief (Papiermache) zeigt vorallem im Randbereich einige Sprünge und auch kleinere Fehlstellen auf | Museum ID: KM-O.134"
o:km.8164,Schädel KM-O.196,Forensische Medizin,1904,"Menschlicher Knochen, Stahl, Messing","Type: Forensische Medizin | Type: Knochen | Description: Schädel, Jahr 1904, Knochenbrüche mit Draht gesichert | Material: Menschlicher Knochen, Stahl, Messing | Dimensions: height: 10,5 cm, width: 18,7 cm, depth: 18,7 cm | Condition: fester haftende Verschmutzung, Schädel beschädigt, Schädeldecke, Unterkiefer und mehrere Zähne fehlen | Museum ID: KM-O.196"
o:km.8199,Falsifikat eins Siegelstempels KM-O.235,Falsifikate,1914,Schiefer,"Type: Falsifikate | Type: Stempel | Description: Falsifikat eins Siegelstempels, Jahr 1914 | Material: Schiefer | Dimensions: height: 4,0 cm, width: 3,5 cm, depth: 0,4 cm | Condition: fester haftende Verschmutzung | Museum ID: KM-O.235"
o:km.8230,Ausbruchswerkzeug KM-O.274,Gefängniserzeugnisse,1916,Stahl,"Type: Gefängniserzeugnisse | Type: Handwerkzeug | Description: Ausbruchswerkzeug, selbstgefertigt aus einem Fensterhaken, Jahr 1916 | Material: Stahl | Dimensions: height: 0,8 cm, width: 33 cm, depth: 2,1 cm | Condition: fester haftende Verschmutzung, Metall korrodiert | Museum ID: KM-O.274"
o:km.8455,Kugelgewehr KM-O.513,Wildererobjekte,1933,"Stahl, Holz","Type: Wildererobjekte | Type: Waffen | Type: Gewehr | Description: Kugelgewehr (Wilderergewehr) mit Martini-Fallblockverschluss, Kaliber 9 mm, mit Gravuren im Metall, Aufkleber: ""20 Unter Premstätten"", Jahr 1933 | Material: Stahl, Holz | Dimensions: height: 5,0 cm, width: 100,5 cm, depth: 11,4 cm | Condition: fester haftende Verschmutzung, Metall korrodiert | Museum ID: KM-O.513"
o:km.8456,Gewehr (Wilderergewehr) KM-O.514,Wildererobjekte,1937,"Stahl, Holz","Type: Wildererobjekte | Type: Waffen | Type: Gewehr | Description: Wenzel-Hinterladergewehr, das Schloss stammt von einem Steinschlossgewehr (Wilderergewehr), Jahr 1937 | Material: Stahl, Holz | Dimensions: height: 7,0 cm, width: 91,5 cm, depth: 15,8 cm | Condition: fester haftende Verschmutzung, Metall korrodiert | Museum ID: KM-O.514"
o:km.8472,Falsifikat eines Siegelstempels KM-O.533,Falsifikate,1915,Schiefer,"Type: Falsifikate | Type: Stempel | Description: Falsifikat eines Siegelstempels, ""S. Testimonii Civitatis Monacensis"", Jahr 1915 | Material: Schiefer | Dimensions: height: 0,4 cm, width: 4,0 cm, depth: 3,6 cm | Condition: fester haftende Verschmutzung, Klebestreifen an der Rückseite | Museum ID: KM-O.533"
o:km.8576,"Reklamespiegel (""Reclamespiegel"") KM-O.647",Varia,1912,"Metall, Glas, Papier","Type: Varia | Description: Reklamespiegel (""Reclamespiegel"") ""Fanny Plachy, Erste Wiener Wäsche-Feinputz-Anstalt, Graz"", verboten, Jahr 1912 | Material: Metall, Glas, Papier | Dimensions: height: 0,4 cm, width: 4,0 cm, depth: 4,0 cm | Condition: fester haftende Verschmutzung | Museum ID: KM-O.647"
o:km.8608,Eisendraht mit Strick KM-O.683,Instrumente (Körperverletzungen),1937,"Eisen, Gewebe","Type: Instrumente (Körperverletzungen) | Type: Draht | Description: Eisendraht mit Strick, Jahr 1937 | Material: Eisen, Gewebe | Dimensions: height: 7,0 cm, width: 29,0 cm, depth: 13,0 cm | Condition: fester haftende Verschmutzung, Metall korrodiert | Museum ID: KM-O.683"
o:km.8652,Bogenmesser (Rebmesser) KM-O.732,Instrumente (Körperverletzungen),1914,"Holz, Stahl","Type: Instrumente (Körperverletzungen) | Type: Messer | Description: Bogenmesser (Rebmesser), mit Griff aus Holz, Jahr 1914 | Material: Holz, Stahl | Dimensions: height: 2,2 cm, width: 21,7 cm, depth: 6,9 cm | Condition: fester haftende Verschmutzung, Metall korrodiert | Museum ID: KM-O.732"
o:km.8682,Falsifikat einer Kette KM-O.786,Unechte Kunstgegenstände,1913,Stahl,"Type: Unechte Kunstgegenstände | Description: Falsifikat einer Goldkette (aus Stahl), Jahr 1913 | Material: Stahl | Dimensions: height: 0,8 cm, width: 27,8 cm, depth: 5,0 cm | Condition: fester haftende Verschmutzung | Museum ID: KM-O.786"
o:km.8689,"Fuchsschwanz (Handsäge), Einbruchswerkzeug KM-O.794",Diebswerkzeuge,1913,"Stahl, Holz, Messing","Type: Diebswerkzeuge | Type: Säge | Description: ""Fuchsschwanz"" (Handsäge) mit Holzgriff, für Einbrüche geeignet, Jahr 1913 | Material: Stahl, Holz, Messing | Dimensions: height: 2,5 cm, width: 44,7 cm, depth: 10,5 cm | Condition: fester haftende Verschmutzung, Metall korrodiert | Museum ID: KM-O.794"
o:km.8720,Gezinkte Würfel KM-O.829,Requisiten von Falschspielern,1913,"Kunststoff, Blei","Type: Requisiten von Falschspielern | Type: Würfel | Description: Würfelspiel aus 4 Stück gezinkten Würfeln, mit Bleieinlagerungen, Jahr 1913 | Material: Kunststoff, Blei | Dimensions: height: 1,8 cm, width: 1,8 cm, depth: 1,8 cm, count: 4 number | Condition: fester haftende Verschmutzung, 2 Würfel beschädigt | Museum ID: KM-O.829"
o:km.8741,Nudelwalker (Geldversteck) KM-O.854,Diebswerkzeuge,1920,Holz,"Type: Diebswerkzeuge | Type: Nudelwalker | Description: Nudelwalker aus Holz, hohl mit aufschraubbaren Griffen (Geldversteck), Jahr 1920 | Material: Holz | Dimensions: height: 7,0 cm, width: 50,5 cm, depth: 7,0 cm | Condition: fester haftende Verschmutzung | Museum ID: KM-O.854"
o:km.8759,Vorhängeschloss KM-O.875,Varia,1905,Stahl,"Type: Varia | Type: Vorhängeschloss | Description: Vorhängeschloss aus Stahl, aufgebrochen, Jahr 1905 | Material: Stahl | Dimensions: height: 4,8 cm, width: 10,5 cm, depth: 6,2 cm | Condition: fester haftende Verschmutzung, Metall korrodiert | Museum ID: KM-O.875"
o:km.8773,Fußabdruck KM-O.896,Fußspuren,1895,"Gips, Papier","Type: Fußspuren | Type: Abdruck | Description: Fußabdruck aus Gips, Jahr 1895 | Material: Gips, Papier | Dimensions: height: 8,5 cm, width: 40,5 cm, depth: 21,5 cm | Condition: fester haftende Verschmutzung | Museum ID: KM-O.896"
o:km.8775,Schuhabdruck KM-O.899,Fußspuren,1913,Gips,"Type: Fußspuren | Type: Abdruck | Description: Schuhabdruck aus Gips, Jahr 1913 | Material: Gips | Dimensions: height: 2,6 cm, width: 27,9 cm, depth: 10,2 cm | Condition: fester haftende Verschmutzung | Museum ID: KM-O.899"
o:km.8817,Spielkarten KM-O.952,Requisiten von Falschspielern,1897,Papier,"Type: Requisiten von Falschspielern | Type: Spielkarte | Description: 4 Stück Spielkarten mit Hakenkruzen auf der Rückseite, Jahr 1897 | Material: Papier | Dimensions: height: 0,2 cm, width: 24,0 cm, depth: 18,0 cm, count: 4  number | Condition: fester haftende Verschmutzung | Museum ID: KM-O.952"
o:km.8846,Plan-Skizze eines Tatorts KM-O.984,Vergleichsobjekte,1895,Papier,"Type: Vergleichsobjekte | Type: Varia | Type: Grafik | Description: Plan-Skizze eines Tatorts, Mord an Martina Helene Trofl und Thomas Florian, angefertigt von Prof. Dr. Groß, Jahr 1895 | Material: Papier | Dimensions: height: 0,1 cm, width: 33,5 cm, depth: 21,7 cm, count: Pl number | Condition: fester haftende Verschmutzung, Papier beschädigt | Museum ID: KM-O.984"
o:km.9114,Projektil KM-O.1023-6,Projektile,1937,Metall,"Type: Projektile | Type: Munition | Description: Projektil aus Metall, Kaliber 6 mm, Jahr 1937 | Material: Metall | Dimensions: height: 0,7 cm, width: 13,8 cm, depth: 8,6 cm | Condition: fester haftende Verschmutzung | Museum ID: KM-O.1023-6"
o:km.9119,Ledermaske KM-O.1028-1,Verstellungskünste,1922,"Leder, Gewebe","Type: Verstellungskünste | Type: Bekleidung | Description: Ledermaske, schwarz, mit Augen- und Mundschlitzen, Jahr 1922 | Material: Leder, Gewebe | Dimensions: height: 1,0 cm, width: 26,3 cm, depth: 21,5 cm | Condition: fester haftende Verschmutzung | Museum ID: KM-O.1028-1"
o:km.9122,Ledermaske KM-O.1028-3,Verstellungskünste,1922,Leder,"Type: Verstellungskünste | Type: Bekleidung | Description: Ledermaske, weiß, Bemalung: Totenkopf mit Knochen, Jahr 1922 | Material: Leder | Dimensions: height: 0,5 cm, width: 8,5 cm, depth: 7,5 cm | Condition: fester haftende Verschmutzung | Museum ID: KM-O.1028-3"
